date	julian_day	year	Diatoms	Diatoms_pennales	Diatoms_centrales	Greenalgae	Dinoflagellates	Silicoflagellates	Coccolithophorids	Flagellates	Ciliates	total_Phytoplankton_abundance	Mediopyxis_helysia	Chaetoceros_debilis	Chaetoceros_minimus	Rhizosolenia_styliformis	Thalassiosira_nordenskioeldii	Dinophyceae_round_(10_µm)	Phaeocystis_sp	Chattonella_sp
100211	42	2010	19606	11257	8349	0	1740	0	210	917934	0	939910	0	0	0	20	0	0	56423	0
100212	43	2010	98752	94732	4020	0	8999	0	29871	1552937	0	1690559	0	0	0	0	140	3319	66380	0
100215	46	2010	68960	68380	580	0	15377	0	6638	2078978	400	2170353	0	40	0	0	20	9957	79656	0
100216	47	2010	14793	14533	260	0	6811	0	6638	2069677	40	2097959	0	0	0	0	60	3319	69699	0
100217	48	2010	78147	75233	2914	0	22761	0	6638	1885004	20	1992570	0	0	0	0	0	16595	53104	0
100218	49	2010	91194	87194	4000	0	14977	0	9957	2768695	100	2884923	0	0	0	0	0	9957	86294	0
100219	50	2010	54624	53944	680	0	6109	0	6638	2549243	20	2616634	0	0	0	0	120	3319	86294	0
100222	53	2010	57084	53744	3340	0	8378	0	6638	2145959	60	2218119	0	0	0	0	20	6638	82975	0
100223	54	2010	63802	57683	6119	0	4579	0	9957	2329023	120	2407481	0	0	0	0	120	3319	86294	0
100224	55	2010	40889	37789	3100	0	7838	0	3319	2193825	40	2245911	0	0	0	0	480	6638	86294	0
100225	56	2010	49147	44067	5080	0	4499	0	16595	2482380	0	2552621	20	0	0	0	1140	3319	69699	0
100226	57	2010	51225	49945	1280	0	5454	0	0	2149686	0	2206365	0	0	0	0	720	3319	76337	0
100301	60	2010	47729	37749	9980	0	8358	0	3319	2990945	80	3050431	0	0	0	0	1620	6638	122803	0
100302	61	2010	17358	6978	10380	0	4179	0	0	2279238	20	2300795	0	0	0	0	2420	3319	69699	0
100303	62	2010	82160	70218	11942	0	878	0	9957	2772434	40	2865469	0	0	0	0	3640	0	116165	0
100304	63	2010	96896	77477	19419	0	14436	0	3319	1712290	60	1827001	20	380	0	0	580	13276	106208	0
100305	64	2010	97796	79131	18665	0	18311	0	6638	2616055	60	2738860	0	0	0	0	2260	16595	122803	0
100308	67	2010	53533	20914	32619	0	12217	0	0	2025075	60	2090885	0	0	3319	0	6440	9957	79656	0
100309	68	2010	38476	14226	24250	0	1110	0	0	2077397	120	2117103	80	340	0	0	7920	0	86294	0
100310	69	2010	54861	34941	19920	0	7098	0	0	1819734	20	1881713	0	300	0	0	6360	6638	46466	0
100311	70	2010	113123	74413	38710	0	1130	0	3319	1768479	180	1886231	80	1060	0	0	7840	0	66380	0
100312	71	2010	144582	80756	63826	0	8058	0	3319	1432420	360	1588739	20	880	0	0	4400	6638	56423	210
100315	74	2010	106114	60924	45190	0	4239	0	0	1757262	20	1867635	80	1040	0	0	6440	3319	59742	0
100316	75	2010	111772	34672	77100	0	670	0	0	1797131	80	1909653	360	320	0	0	8520	0	73018	0
100317	76	2010	101425	24124	77301	0	270	0	9957	1755203	60	1866915	100	1000	0	0	12371	0	66380	210
100318	77	2010	234908	111870	123038	0	7348	0	0	1896660	160	2139076	60	1860	0	0	22990	6638	89613	0
100319	78	2010	294187	48988	245199	0	840	0	0	2369008	0	2664035	240	5400	0	0	59285	0	172588	0
100322	81	2010	396336	45820	350516	0	7916	0	0	4020532	240	4425024	440	9240	0	0	88510	6638	258882	0
100323	82	2010	497904	59700	438204	0	1918	0	6638	3164796	120	3671376	1000	11040	0	0	105210	0	185864	0
100324	83	2010	477509	54240	423269	0	879	0	0	2551509	120	3030017	400	7680	0	0	66800	0	159312	0
100325	84	2010	535358	101397	433961	0	2038	0	13276	3089261	280	3640213	1400	4480	0	0	62625	0	73018	0
100326	85	2010	781841	82603	699238	0	17791	0	0	2355873	360	3155865	640	5800	0	0	236998	13276	139398	0
100330	89	2010	515325	119546	395779	0	1079	0	6638	2882639	200	3405881	1400	9520	0	0	151879	0	73018	0
100331	90	2010	573148	112727	460421	0	839	0	0	2709003	440	3283430	1200	8240	0	0	113492	0	199140	0
100401	91	2010	385005	100059	284946	0	22885	0	0	2566454	200	2974544	880	8120	0	0	110154	19530	195300	559
100406	96	2010	904635	249606	655029	40	7637	40	0	3510454	320	4423086	2800	15400	0	0	288737	6638	298710	0
100407	97	2010	780725	237532	543193	80	12671	80	0	2609363	2160	3404999	4520	21960	0	0	268709	6638	298710	0
100408	98	2010	1048896	300825	748071	160	24030	160	0	2364041	3200	3440327	4080	14440	6638	0	470658	19914	119484	0
100409	99	2010	1109449	388304	721145	80	24589	80	0	3271004	440	4405562	6320	16800	0	0	400560	19914	358452	0
100412	102	2010	781063	327249	453814	40	15355	40	0	2613003	520	3409981	34960	6600	0	0	265371	13276	139398	0
100413	103	2010	781096	404069	377027	40	49664	40	0	2945742	1520	3778062	22160	4720	0	0	161893	46466	252244	0
100414	104	2010	853535	400005	453530	40	14990	40	0	4304928	1160	5174653	48604	4640	0	0	133520	6638	232330	0
100415	105	2010	1152495	472089	680406	200	32108	200	0	3729174	1240	4915217	26250	10280	6638	0	166900	26552	258882	0
100416	106	2010	1235091	473465	761626	40	53488	40	0	3481634	1480	4771733	17780	4040	0	0	173576	39828	225692	0
100419	109	2010	631657	179422	452235	240	22672	240	0	1875420	40	2530029	17080	4640	0	0	52605	19914	112846	0
100420	110	2010	1435914	890675	545239	120	22667	120	0	3571466	1040	5031207	90085	1480	0	0	91795	13276	238968	0
100421	111	2010	1379279	369896	1009383	40	27746	40	6638	3322430	880	4737013	45671	2440	0	0	54275	19914	152674	0
100422	112	2010	1872933	1426690	446243	40	20516	40	0	3893812	200	5787501	137432	3080	0	0	48430	13276	305348	0
100423	113	2010	699049	482603	216446	80	41850	80	0	2135664	2200	2878843	36034	1520	0	0	26688	33190	112846	0
100426	116	2010	658824	300834	357990	80	37192	80	6638	1801326	1600	2507340	91761	1120	0	0	11913	26552	159312	0
100427	117	2010	621182	295958	325224	120	26814	120	0	2760394	1920	3410430	67878	720	0	0	9686	19914	179226	0
100428	118	2010	848298	405033	443265	0	36832	0	0	3046330	1320	3932780	71230	0	0	0	11913	26552	112846	0
100429	119	2010	688506	307634	380872	40	18296	40	0	3098594	720	3806156	97208	480	0	0	1560	13276	126122	420
100430	120	2010	701068	290918	410150	40	17118	40	6638	2734262	1320	3462126	46928	720	0	0	480	6638	232330	0
100503	123	2010	719520	364659	354861	0	22781	0	0	3555104	1320	4298725	204472	0	0	0	280	13276	225692	0
100504	124	2010	390596	221658	168938	0	42460	0	0	2461464	1040	2895560	74582	0	0	0	80	33190	292072	0
100505	125	2010	775416	334779	440637	0	41381	0	0	5158244	1880	5976921	299166	0	0	0	0	33190	577506	0
100506	126	2010	628710	263967	364743	80	31062	80	0	4721814	1400	5383066	306289	0	0	0	200	19914	504488	0
100510	130	2010	247289	90334	156955	0	35143	0	0	3438780	1440	3722652	141203	0	0	0	0	26552	458022	0
100511	131	2010	99406	41258	58148	0	39972	0	6638	2947180	1280	3095316	46090	0	0	0	0	26552	219054	0
100512	132	2010	124913	49340	75573	0	19036	0	0	3011962	1960	3157871	69973	0	0	0	0	13276	318624	420
100514	134	2010	41800	24840	16960	0	20756	0	0	1785530	740	1848826	15120	0	0	0	0	13276	292072	0
100517	137	2010	66552	36060	30492	0	36392	0	0	1809644	360	1912948	28492	0	0	0	0	26552	391642	0
100518	138	2010	30201	22041	8160	0	13786	0	0	2730944	880	2775811	7200	0	0	0	0	6638	152674	0
100519	139	2010	235013	192572	42441	0	8956	0	0	3311202	160	3555331	41481	0	0	0	0	6638	212416	0
100520	140	2010	60167	53377	6790	0	27163	0	0	1986921	480	2074731	5950	0	0	0	0	16595	232330	0
100521	141	2010	95691	88681	7010	0	24763	0	0	3707952	860	3829266	6230	0	0	0	0	13276	544316	0
100525	145	2010	8760	5200	3560	0	18777	0	0	1302817	1120	1331474	2760	0	0	0	0	9957	209097	0
100526	146	2010	5640	4020	1620	0	24056	0	0	1423100	1980	1454776	1520	0	0	0	0	13276	205778	0
100527	147	2010	74486	60716	13770	20	13423	20	0	1897155	920	1986004	13230	0	0	0	0	6638	219054	0
100528	148	2010	14145	13105	1040	20	15565	20	0	2143025	1660	2174415	1020	0	0	0	0	3319	328581	0
100531	151	2010	7509	6189	1320	0	6233	0	0	2463480	380	2477602	1200	0	0	0	0	3319	653843	0
100601	152	2010	94734	93414	1320	0	30023	0	0	2294712	8400	2427869	1120	0	0	0	0	19914	438108	0
100602	153	2010	34960	34640	320	0	25244	0	0	2200250	8024	2268478	320	0	0	0	0	13276	391642	0
100603	154	2010	56935	55995	940	20	8013	20	0	2322905	4800	2392673	280	0	0	0	0	0	355133	0
100604	155	2010	128688	128448	240	0	29459	0	6638	2327359	21896	2514040	200	0	0	0	0	13276	255563	0
100607	158	2010	146672	146492	180	0	16306	0	0	2655323	6556	2824857	120	0	0	0	0	0	308667	0
100608	159	2010	290184	289984	200	0	31096	0	0	1942355	7667	2271302	40	0	0	0	0	3319	275477	0
100609	160	2010	120397	120117	280	0	57606	0	6638	1884871	3440	2072952	20	0	0	0	0	16595	331900	0
100610	161	2010	135187	131568	3619	0	29755	0	6638	2050070	3680	2225330	140	0	0	0	0	16595	302029	0
100611	162	2010	138732	127972	10760	0	21258	0	6638	1803303	1520	1971451	100	0	0	0	0	6638	275477	0
100614	165	2010	85646	81427	4219	0	21921	0	9957	2478170	760	2596454	2440	0	0	0	0	3319	308667	0
100615	166	2010	617492	616172	1320	0	33174	0	19914	2804047	340	3474967	440	0	0	0	0	19914	302029	0
100616	167	2010	408708	406109	2599	20	35353	20	13276	2703220	220	3162473	1340	120	0	0	0	23233	202459	0
100617	168	2010	97947	96748	1199	0	50933	0	0	1809373	540	1958793	140	0	0	0	0	26552	162631	0
100618	169	2010	429832	429232	600	0	53240	0	6638	2354565	200	2844475	100	0	0	0	0	33190	225692	0
100621	172	2010	483818	481639	2179	20	54473	20	26552	2209946	520	2775329	1080	580	0	0	0	36509	258882	0
100622	173	2010	230195	226658	3537	0	31237	0	39828	2838485	380	3140125	280	160	0	0	0	13276	292072	0
100623	174	2010	27312	24213	3099	0	91392	0	39828	3357273	0	3515805	960	240	0	0	0	63061	471298	0
100624	175	2010	505485	500509	4976	40	77591	40	6638	2890972	520	3481246	140	0	0	0	0	19914	604058	0
100625	176	2010	213460	202411	11049	40	155121	40	19914	3936284	900	4325719	300	0	0	0	0	92932	736818	0
100628	179	2010	87975	80235	7740	80	70861	80	26552	2779865	1460	2966793	100	0	0	0	0	23233	471298	0
100629	180	2010	181565	169292	12273	40	57340	40	66380	2816745	360	3122430	140	280	0	0	0	26552	348495	0
100630	181	2010	45676	37116	8560	240	125866	240	58590	5936126	2360	6168858	40	760	0	0	0	78120	1080660	0
100701	182	2010	35289	19293	15996	80	121046	80	73018	6052635	1640	6283708	120	2720	0	0	0	66380	770008	0
100702	183	2010	166556	136762	29794	160	120942	160	99570	5963662	1000	6351890	40	640	13276	0	0	92932	1088632	1678
100705	186	2010	514536	428223	86313	120	180377	120	73018	5737700	13416	6519167	120	2000	0	0	0	112846	1141736	559
100706	187	2010	809202	713356	95846	0	94298	0	59742	5841538	4640	6809420	40	4880	6638	0	0	39828	1420532	0
100707	188	2010	170315	94893	75422	40	138134	40	66380	7309992	2440	7687301	200	5520	6638	0	0	53104	1692690	3356
100708	189	2010	399307	258031	141276	240	210650	240	79656	5909818	4680	6604351	160	6640	26552	0	0	106208	1261220	1678
100709	190	2010	1680907	1497991	182916	80	159096	80	112846	6259757	2680	8215366	0	2960	13276	0	0	86294	776646	1678
100712	193	2010	1383064	881336	501728	0	128376	0	126122	5669444	4520	7311526	0	3640	6638	0	0	59742	564230	0
100713	194	2010	328102	97124	230978	40	114488	40	53104	4891776	2360	5389870	80	2800	0	0	0	26552	424832	0
100714	195	2010	402038	78096	323942	40	140074	40	73018	4949364	18850	5583384	80	4640	13276	0	0	59742	643886	559
100715	196	2010	301351	60034	241317	0	119335	0	33190	4259850	4360	4718086	240	1600	6638	0	0	79656	424832	0
100716	197	2010	210865	51561	159304	40	76371	40	0	3450503	5240	3743019	240	3280	0	0	0	59742	365090	0
100719	200	2010	116647	43654	72993	40	80969	40	13276	3643494	3320	3857746	0	320	0	0	0	59742	318624	559
100720	201	2010	141524	53517	88007	120	47083	120	13276	3623440	4960	3830403	0	160	6638	0	0	13276	305348	0
100721	202	2010	81406	22578	58828	40	68428	40	33190	3070782	5880	3259726	0	0	0	0	0	39828	331900	0
100722	203	2010	157582	68176	89406	40	221398	40	86294	4239683	25106	4730103	40	280	6638	0	0	86294	331900	0
100723	204	2010	118854	52620	66234	0	168206	0	19914	3804553	21892	4133419	0	600	6638	0	0	119484	424832	0
100726	207	2010	195230	15823	179407	80	124672	80	53104	3677279	2840	4053205	40	9640	0	0	0	66380	292072	0
100727	208	2010	240002	35335	204667	80	113855	80	53104	4054880	3880	4465801	0	15280	6638	0	0	73018	278796	0
100728	209	2010	214616	7672	206944	0	130934	0	79656	3935692	1560	4362458	0	7960	0	0	0	92932	252244	0
100729	210	2010	142917	49492	93425	0	83075	0	92932	4215131	1000	4535055	200	9720	0	0	0	66380	219054	0
100730	211	2010	109929	8067	101862	0	50252	0	26552	4211917	760	4399410	280	18400	0	0	0	39828	219054	0
100802	214	2010	300746	15714	285032	0	129748	0	66380	4193044	400	4690318	0	20280	6638	0	0	112846	411556	0
100803	215	2010	280028	25348	254680	0	137785	0	66380	5091321	360	5575874	80	9040	0	0	0	119484	438108	0
100804	216	2010	662545	9230	653315	0	180120	0	46466	4748810	200	5638141	0	26560	0	0	0	146036	318624	0
100805	217	2010	482535	3300	479235	0	36592	0	0	4162774	40	4681941	0	11720	0	0	0	26552	245606	0
100806	218	2010	393820	14346	379474	40	75306	40	0	3552366	200	4021732	400	198550	0	0	0	33190	557592	0
100809	221	2010	815205	30569	784636	0	186943	0	26552	4190922	1480	5221102	840	566965	0	0	0	132760	345176	839
100810	222	2010	949549	64611	884938	0	130507	0	39828	5290387	720	6410991	1880	607880	0	0	0	112846	477936	0
100811	223	2010	1090175	83993	1006182	0	183911	0	26552	5069616	320	6370574	480	754388	0	0	0	159312	404918	0
100812	224	2010	665014	39398	625616	0	263184	0	0	4791698	3560	5723456	120	467320	0	0	0	192502	305348	0
100813	225	2010	672808	22058	650750	0	236967	0	0	4351912	760	5262447	480	551100	6638	0	0	185864	185864	0
100816	228	2010	766249	67488	698761	0	196958	0	0	4679074	1600	5643881	1120	336519	0	0	0	73018	252244	8390
100817	229	2010	581134	71056	510078	0	242614	0	0	4014978	5480	4844206	1240	310248	0	0	0	106208	192502	3356
100818	230	2010	414128	32768	381360	0	243524	0	13276	4758212	1880	5431020	1160	220454	0	0	0	53104	219054	0
100819	231	2010	349294	57144	292150	0	363285	0	6638	4735855	1600	5456672	1840	152205	0	0	0	79656	225692	0
100820	232	2010	422004	62416	359588	0	652372	0	0	4816942	680	5891998	1000	229906	0	0	0	106208	165950	0
100823	235	2010	439190	177772	261418	0	364954	0	19914	3736108	240	4560406	880	161796	0	0	0	26552	139398	0
100824	236	2010	78411	20450	57961	0	484556	0	0	4624870	559	5188396	400	4600	0	0	0	66380	199140	0
100825	237	2010	87761	31533	56228	0	430066	0	19914	5047841	280	5585862	3000	22280	0	0	0	59742	165950	0
100826	238	2010	539530	284108	255422	0	244822	0	13276	4921176	40	5718844	1040	120000	0	0	0	79656	192502	1678
100827	239	2010	218881	94825	124056	0	1341010	0	0	4693115	160	6253166	2080	35840	0	0	0	46466	132760	0
100830	242	2010	115586	56039	59547	0	199540	0	6638	3665574	40	3987378	600	12040	0	0	0	19914	152674	559
100831	243	2010	175486	126902	48584	0	730152	0	0	4124542	0	5030180	640	17400	0	0	0	19914	146036	0
100901	244	2010	189232	102418	86814	0	305588	0	0	4244322	1798	4740940	360	17760	0	0	0	33190	152674	0
100902	245	2010	160456	84630	75826	40	277118	40	0	3753036	160	4190810	160	31760	0	0	0	6638	112846	1678
100903	246	2010	226228	95904	130324	0	609718	0	0	3738304	320	4574570	0	71520	0	0	0	0	112846	0
100906	249	2010	161548	40359	121189	0	1427850	0	0	3224982	800	4815180	80	86560	0	0	0	26552	146036	3356
100907	250	2010	307835	31690	276145	80	720975	80	0	3196752	1279	4226921	120	193766	0	0	0	26552	199140	839
100908	251	2010	274664	46407	228257	0	366064	0	0	3611492	400	4252620	320	154012	0	0	0	19914	79656	0
100909	252	2010	107815	54748	53067	40	786163	40	0	3376297	2916	4273231	160	30880	0	0	0	19914	92932	0
100910	253	2010	140234	52814	87420	0	151916	0	0	2554196	1080	2847426	160	46720	0	0	0	19914	92932	420
100913	256	2010	90832	54448	36384	0	102391	0	0	3119992	160	3313375	120	11960	0	0	0	39828	59742	0
100914	257	2010	81608	49070	32538	0	198710	0	0	3903292	440	4184050	100	5840	0	0	0	26552	73018	0
100915	258	2010	113381	78814	34567	0	85717	0	0	2275455	440	2474993	80	5140	0	0	0	26552	69699	0
100916	259	2010	17240	7840	9400	0	45734	0	0	1369989	40	1433003	120	2880	0	0	0	19914	9957	280
100917	260	2010	90719	48799	41920	0	25698	0	0	1984127	160	2100704	320	3320	0	0	0	6638	53104	0
100920	263	2010	86398	35318	51080	0	37117	0	0	2045392	1300	2170207	300	2100	0	0	0	9957	46466	280
100921	264	2010	142665	95723	46942	0	25948	0	0	2274946	680	2444239	160	1940	0	0	0	19914	36509	0
100922	265	2010	116975	50583	66392	20	28989	20	0	2420234	860	2567078	60	1220	0	0	0	16595	63061	419
100923	266	2010	73495	20206	53289	0	30895	0	0	2081568	1180	2187138	20	300	0	0	0	9957	63061	839
100927	270	2010	45976	27916	18060	0	27417	0	0	2422276	320	2495989	60	0	0	0	0	9957	59742	1120
100928	271	2010	62036	40226	21810	0	17258	0	0	1345368	240	1424902	60	200	0	0	0	6638	43147	210
100929	272	2010	70116	25176	44940	40	59888	40	0	2412039	480	2542563	140	1260	0	0	0	39828	126122	1400
100930	273	2010	52459	16479	35980	0	26615	0	0	2075140	320	2154534	80	1480	0	0	0	16595	102889	280
101001	274	2010	87065	59675	27390	0	15607	0	0	2692042	380	2795094	120	780	0	0	0	9957	106208	0
101004	277	2010	64177	49008	15169	0	16206	0	0	1350664	40	1431087	20	140	0	0	0	13276	56423	0
101005	278	2010	69323	39154	30169	0	7289	0	0	1570348	260	1647220	40	1120	3319	0	0	3319	106208	0
101006	279	2010	35680	13980	21700	0	6579	0	0	1014185	330	1056774	20	3160	0	20	0	3319	79656	0
101007	280	2010	51464	34854	16610	0	18425	0	0	1284704	350	1354943	180	2780	0	0	0	16595	96251	0
101011	284	2010	59785	39415	20370	0	13657	0	0	1315205	120	1388767	280	3940	0	0	0	9957	59742	0
101012	285	2010	97764	60874	36890	0	10168	0	0	1593704	100	1701736	220	7860	0	0	0	6638	129441	0
101013	286	2010	66765	41135	25630	0	11208	0	210	1468550	330	1547063	240	3600	0	0	0	6638	99570	0
101014	287	2010	50733	37293	13440	0	4279	0	0	1262941	100	1318053	100	1320	0	0	0	3319	109527	0
101018	291	2010	34980	9910	25070	0	7949	0	0	1561692	390	1605011	180	1640	0	0	0	3319	92932	630
101019	292	2010	44986	26706	18280	0	21575	0	0	2160541	60	2227162	220	680	0	0	0	16595	109527	0
101021	294	2010	14170	7070	7100	0	10658	0	0	1786124	40	1810992	180	180	0	0	0	6638	39828	0
101022	295	2010	25950	13620	12330	0	15886	0	0	1976526	20	2018382	240	920	0	0	0	13276	69699	210
101025	298	2010	22959	10079	12880	0	9798	0	0	1547325	0	1580082	360	780	0	0	0	6638	79656	0
101026	299	2010	27469	12799	14670	0	15906	0	0	1777176	0	1820551	340	100	0	0	0	13276	76337	0
101027	300	2010	25195	10859	14336	0	16192	0	0	1614499	0	1655886	200	0	0	0	0	13276	96251	208
101028	301	2010	28130	11440	16690	0	17836	0	0	2161591	20	2207577	240	340	0	0	0	13276	112846	0
101029	302	2010	16690	7250	9440	0	19205	0	0	1721173	20	1757088	80	180	0	0	0	16595	106208	0
101101	305	2010	34790	13790	21000	0	18696	0	0	1571818	0	1625304	80	1620	0	0	0	13276	126122	210
101102	306	2010	56919	22670	34249	0	26414	0	0	2098320	180	2181833	120	820	0	40	0	19914	89613	0
101104	308	2010	18570	6720	11850	0	12918	0	0	2078406	140	2110034	100	240	0	0	0	6638	112846	210
101105	309	2010	17319	9159	8160	20	12768	20	0	1495691	100	1525898	40	140	0	80	0	6638	106208	0
101108	312	2010	14950	7400	7550	0	10678	0	0	1631391	0	1657019	220	120	0	80	0	6638	109527	0
101109	313	2010	26329	16359	9970	0	7839	0	0	2060971	60	2095199	140	220	0	40	0	3319	102889	0
101110	314	2010	29355	23815	5540	0	13956	0	0	1746354	80	1789745	40	760	0	20	0	13276	96251	20
101111	315	2010	33638	20858	12780	0	21445	0	0	2101009	0	2156092	200	300	0	0	0	16595	119484	0
101115	319	2010	45072	35063	10009	0	10218	0	0	1908297	80	1963667	220	0	0	20	0	6638	79656	0
101116	320	2010	43023	36393	6630	0	19756	0	0	2363840	20	2426639	140	100	0	0	0	13276	119484	0
101117	321	2010	18169	13499	4670	0	21435	0	0	1835530	40	1875174	180	0	0	0	0	16595	119484	0
101118	322	2010	24319	18849	5470	0	18316	0	0	1481196	0	1523831	480	0	0	0	0	13276	79656	0
101119	323	2010	107915	102245	5670	0	11398	0	210	1519134	0	1638657	100	0	0	0	0	6638	96251	0
101122	326	2010	111756	105926	5830	0	8359	0	0	1311466	0	1431581	120	0	0	0	0	3319	112846	0
101123	327	2010	124678	119961	4717	0	15325	0	0	1299857	0	1439860	60	0	0	0	0	9957	79656	0
101124	328	2010	123676	120416	3260	0	22075	0	0	1902948	0	2048699	80	0	0	0	0	16595	122803	0
101125	329	2010	53809	50059	3750	0	13717	0	0	1535099	0	1602625	0	0	0	0	0	9957	63061	0
101126	330	2010	178334	172104	6230	0	16337	0	0	1706888	210	1902609	120	0	0	20	0	9957	99570	0
101202	336	2010	185592	178272	7320	0	13298	0	0	2322752	40	2522522	140	0	0	0	0	6638	112846	0
101203	337	2010	57027	52897	4130	0	15616	0	210	2627890	60	2700803	180	0	0	0	0	13276	146036	0
101206	340	2010	127959	121399	6560	0	23045	0	0	2125292	0	2276296	40	0	0	0	0	16595	142717	0
101207	341	2010	94090	88430	5660	0	18096	0	0	2073197	210	2185593	100	0	0	0	0	13276	89613	0
101208	342	2010	84091	81041	3050	0	13087	0	0	1609966	0	1707984	60	0	0	0	0	9957	86294	0
101210	344	2010	95448	91468	3980	0	35771	0	420	1919053	420	2051112	80	0	0	0	0	29871	63061	0
101213	347	2010	69929	63569	6360	0	16337	0	0	2069219	0	2155485	140	0	0	0	0	9957	86294	0
101214	348	2010	16330	12530	3800	0	7079	0	0	2036688	0	2060097	60	0	0	0	0	3319	92932	0
101215	349	2010	52047	45148	6899	0	17415	0	0	2088091	0	2157553	100	0	0	20	0	16595	69699	0
101216	350	2010	24875	22075	2800	0	13896	0	0	1888951	0	1927722	260	0	0	0	0	13276	69699	0
101217	351	2010	77542	74362	3180	0	9332	0	0	2208844	0	2299070	60	0	0	0	0	6638	102889	0
101220	354	2010	25195	22915	2280	0	15598	0	0	2284394	20	2326887	140	0	0	0	0	6638	109527	0
101221	355	2010	16788	14298	2490	0	17457	0	0	1904599	100	1939784	140	0	0	0	0	9957	106208	0
101222	356	2010	23007	17937	5070	0	10828	0	0	2043116	40	2076991	80	0	0	0	0	6638	92932	0
101228	362	2010	878379	871720	6659	0	16617	0	0	1987276	0	2882272	160	0	0	0	0	6638	76337	0
101229	363	2010	87567	84897	2670	0	7759	0	0	1874897	0	1970223	100	0	0	0	0	3319	59742	0
101230	364	2010	59149	56689	2460	0	9948	0	0	1773017	0	1842114	40	0	0	40	0	6638	69699	0
110103	3	2011	68526	65986	2540	0	13947	0	0	1779865	0	1862338	80	0	0	0	0	9957	76337	0
110104	4	2011	92608	89588	3020	0	16086	0	0	2149744	0	2258438	60	0	0	20	0	13276	76337	0
110105	5	2011	8000	5080	2920	0	17716	0	6638	3922300	0	3954654	0	0	0	0	0	13276	112846	0
110106	6	2011	26038	17609	8429	0	22184	0	0	2351363	0	2399585	40	200	0	0	0	19914	76337	0
110107	7	2011	9210	5990	3220	0	18106	0	0	1943126	0	1970442	40	0	0	0	0	13276	43147	0
