date	julian_day	year	time	Secchi meter 	temperature	salinity	SiO2	PO4	NO2	NO3	NOX	NH4	HPLC Chla	BBE Chla	DIN	HW Zeit 1	HW Zeit 2	NW Zeit 1	NW Zeit 2
10/1/16	16	2010	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0:24	12:48	7:12	19:22
10/1/17	17	2010	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0:58	13:22	7:48	19:56
10/1/18	18	2010	8:40	3.9	4.5	34.581	4.62	0.48	1.9	7.46	9.36	0.57	NA	0.376	9.93	1:31	13:53	8:21	20:26
10/1/19	19	2010	9:35	2.8	4.7	34.747	4.77	0.55	1.64	8.82	10.46	0.44	1.113	1.017	10.91	2:01	14:22	8:50	20:52
10/1/20	20	2010	8:50	5.5	4.4	34.567	5.27	0.42	1.58	11.25	12.83	0.16	NA	0.885	12.98	2:29	14:50	9:18	21:21
10/1/21	21	2010	8:45	4	3.8	34.411	6.39	0.57	1.4	10.63	12.03	0.55	0.268	0.405	12.58	3:00	15:21	9:47	21:53
10/1/22	22	2010	8:50	3.4	3.3	34.362	5.85	0.46	1.38	11.79	13.17	0.57	NA	0.714	13.73	3:32	15:23	10:17	22:25
10/1/23	23	2010	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4:05	16:28	10:46	23:01
10/1/24	24	2010	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4:46	17:16	11:27	23:56
10/1/25	25	2010	9:05	3.3	2.6	34.27	5.72	0.53	1.34	12.54	13.88	0.59	NA	0.415	14.47	5:46	18:25	NA	12:31
10/1/26	26	2010	9:35	5.4	2.3	34.219	6.93	0.64	1.25	12.63	13.88	1.03	0.757	0.59	14.92	7:06	19:48	1:13	13:53
10/1/27	27	2010	9:00	5	2.8	34.168	6.91	0.77	1.1	9.94	11.04	0.87	NA	0.487	11.9	8:32	21:10	2:41	15:18
10/1/28	28	2010	8:50	1.3	2.5	34.138	7.39	0.57	1.28	11.57	12.85	1.41	0.51	0.517	14.26	9:51	22:20	4:04	16:34
10/1/29	29	2010	8:20	1.3	2.9	34.317	7.45	0.65	1.01	12.14	13.15	0.69	NA	0.329	13.84	10:59	23:19	5:16	17:39
10/1/30	30	2010	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11:56	NA	6:17	18:34
10/1/31	31	2010	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0:11	12:45	7:11	19:25
10/2/01	32	2010	9:05	2.1	3.1	34.062	7.97	1.28	1.18	12.77	13.96	0.6	NA	0.627	14.56	1:00	13:33	8:03	20:14
10/2/02	33	2010	7:40	2.3	2.8	34.023	7.96	0.69	1.22	13.19	14.41	0.34	0.427	0.55	14.76	1:48	14:18	8:49	20:58
10/2/03	34	2010	9:00	2.8	1.4	33.313	7.62	0.81	1.18	11.22	12.4	0.51	NA	0.449	12.9	2:32	15:00	9:30	21:37
10/2/04	35	2010	8:30	2	2.5	33.843	8.61	0.65	1.22	11.7	12.92	0.66	0.224	0.304	13.58	3:12	15:39	10:06	22:15
10/2/05	36	2010	8:35	2.8	2.6	33.926	9.82	0.8	1.1	13.4	14.5	2.55	0.793	0.752	17.05	3:53	16:20	10:42	22:55
10/2/06	37	2010	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4:36	17:03	11:20	23:38
10/2/07	38	2010	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5:25	17:55	NA	12:06
10/2/08	39	2010	9:10	4	1.9	34.004	8.05	0.62	1.21	12.25	13.46	0.52	NA	0.577	13.98	6:29	19:04	0:36	13:11
10/2/09	40	2010	9:30	5	2.2	34.05	8.07	0.64	1.2	13.97	15.17	0.43	0.563	0.301	15.6	7:48	20:26	1:54	14:34
10/2/10	41	2010	9:40	4.8	1.8	34.059	8.12	0.6	1.18	10.16	11.34	0.55	NA	0.412	11.89	9:13	21:43	3:22	15:56
10/2/11	42	2010	8:20	3	1.5	33.666	9.91	0.64	1.26	16.27	17.54	1.16	0.055	0.19	18.7	10:24	22:43	4:38	17:00
10/2/12	43	2010	8:50	3.9	1.8	33.802	10.32	0.65	1.28	14.27	15.56	0.77	0.907	0.583	16.33	11:15	23:28	5:35	17:49
10/2/13	44	2010	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11:55	NA	6:18	18:29
10/2/14	45	2010	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0:06	12:29	6:56	19:05
10/2/15	46	2010	9:00	3	1.1	32.759	13.51	0.69	1.42	23.35	24.77	1.07	NA	0.948	25.84	0:39	13:01	7:29	19:37
10/2/16	47	2010	9:05	3.5	1.5	33.17	12.87	0.89	1.39	17.07	18.46	1.03	0.176	0.413	19.49	1:09	13:30	7:58	20:04
10/2/17	48	2010	9:14	3.6	1.6	33.768	9.11	0.49	1.35	14.16	15.51	0.21	NA	0.14	15.72	1:37	13:56	8:25	20:30
10/2/18	49	2010	7:15	7	2	33.995	8.51	0.71	1.32	13.12	14.44	0.91	1.2	0.955	15.34	2:05	14:24	8:52	20:59
10/2/19	50	2010	8:50	6.8	2.3	33.835	8.79	0.6	1.33	12.57	13.9	0.59	NA	1.703	14.49	2:35	14:54	9:21	21:31
10/2/20	51	2010	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3:08	15:24	9:50	22:00
10/2/21	52	2010	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3:38	15:52	10:14	22:28
10/2/22	53	2010	8:20	3.8	1.9	33.739	7.52	0.85	1.33	15.08	16.42	0.92	NA	0.367	17.34	4:12	16:33	10:46	23:15
10/2/23	54	2010	7:35	5	2	33.883	8.68	0.6	1.23	13.15	14.38	0.74	0.593	0.368	15.12	5:07	17:40	11:47	NA
10/2/24	55	2010	7:45	3.7	1.7	33.967	8.59	0.7	1.13	13.11	14.24	1.23	NA	0.154	15.47	6:31	19:12	0:34	13:17
10/2/25	56	2010	8:35	7.4	2.1	33.989	7.67	0.59	1.15	12.4	13.55	0.36	0.832	0.384	13.92	8:09	20:46	2:14	14:55
10/2/26	57	2010	8:35	6.8	2.4	34.03	7.17	0.55	1.18	12.59	13.77	1.56	NA	0.19	15.32	9:37	22:05	3:48	16:20
10/2/27	58	2010	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10:48	23:05	5:05	17:27
10/2/28	59	2010	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11:43	23:56	6:06	18:23
10/3/01	60	2010	8:45	5.2	2.4	33.928	7.87	0.51	1.06	11.87	12.93	0.26	NA	0.269	13.19	NA	12:29	6:57	19:11
10/3/02	61	2010	7:05	4.5	2.2	33.989	7.79	0.49	1.06	11.47	12.53	0.53	0.391	0.106	13.07	0:43	13:12	7:42	19:56
10/3/03	62	2010	7:15	5	2.3	33.958	7.98	0.51	1.04	12.24	13.28	0.4	NA	0.244	13.68	1:28	13:53	8:25	20:38
10/3/04	63	2010	8:30	5.5	2.2	33.938	8.04	0.53	0.96	12.84	13.8	0.7	1.1	0.636	14.5	2:11	14:33	9:04	21:16
10/3/05	64	2010	8:08	5.4	1.9	33.588	10.7	0.66	0.99	14.88	15.87	1.34	1.259	0.774	17.21	2:51	15:10	9:38	21:51
10/3/06	65	2010	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3:29	15:46	10:11	22:26
10/3/07	66	2010	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4:07	16:24	10:44	23:04
10/3/08	67	2010	7:00	6.2	2	33.065	12.78	0.55	1.06	20.67	21.73	1.09	NA	0.489	22.82	4:49	17:11	11:23	23:55
10/3/09	68	2010	7:45	4	1.7	31.116	21.06	0.74	1.31	30.3	31.61	3.01	0.812	0.269	34.62	5:47	18:17	NA	12:24
10/3/10	69	2010	7:42	5.4	2.1	32.129	17.21	0.95	1.15	24.61	25.76	2.34	NA	0.433	28.1	7:07	19:43	1:12	13:49
10/3/11	70	2010	8:25	7.2	2.2	32.641	14.13	0.59	1.06	20.77	21.83	0.65	1.637	0.693	22.47	8:38	21:10	2:46	15:21
10/3/12	71	2010	8:25	7.6	2.5	32.899	12.77	0.61	1.04	20.25	21.29	0.96	NA	0.782	22.25	9:57	22:16	4:11	16:35
10/3/13	72	2010	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10:51	23:02	5:11	17:26
10/3/14	73	2010	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11:28	23:38	5:53	18:04
10/3/15	74	2010	8:25	5	2.4	32.872	12.7	1.12	0.93	17.23	18.16	4.29	NA	0.787	22.45	NA	12:00	6:27	18:38
10/3/16	75	2010	8:25	5.3	2.2	32.626	11.21	0.94	0.96	22.66	23.63	1.97	1.636	0.954	25.59	0:11	12:31	6:59	19:09
10/3/17	76	2010	7:50	5	2.4	32.598	12.94	1.04	1.02	18.78	19.8	9.65	NA	0.778	29.45	0:41	13:01	7:28	19:37
10/3/18	77	2010	8:30	7.5	2.6	32.774	12.22	0.66	1.03	27.85	28.89	1.23	2.633	1.174	30.11	1:10	13:28	7:56	20:07
10/3/19	78	2010	8:15	5.6	2.8	32.833	11.1	0.99	0.96	21.15	22.11	0.56	NA	1.232	22.67	1:40	13:57	8:24	20:38
10/3/20	79	2010	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2:13	14:29	8:56	21:12
10/3/21	80	2010	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2:47	15:00	9:27	21:43
10/3/22	81	2010	7:45	5.5	2.9	32.761	7.52	0.61	1.05	22.66	23.72	1.23	NA	2.369	24.94	3:22	15:32	9:55	22:15
10/3/23	82	2010	7:20	4.2	3.1	32.723	6.87	1.33	0.86	21.48	22.34	0.53	7.208	3.655	22.88	3:59	16:14	10:29	23:02
10/3/24	83	2010	8:35	5	3	32.981	5.93	2.33	0.79	17.5	18.29	0.71	NA	3.207	19	4:53	17:21	11:28	NA
10/3/25	84	2010	7:10	5.5	3.2	33.067	4.27	1.56	0.82	14.16	14.98	0.83	9.497	6.049	15.81	6:15	18:52	0:20	12:59
10/3/26	85	2010	8:00	5.2	3.4	33.202	3.28	1	0.78	14.21	14.99	7.13	NA	2.992	22.12	7:53	20:27	2:00	14:39
10/3/27	86	2010	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9:21	21:46	3:34	16:04
10/3/28	87	2010	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11:28	23:45	5:47	18:08
10/3/29	88	2010	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12:20	6:44	19:02
10/3/30	89	2010	6:20	4.2	3.3	33.189	1.8	0.3	0.66	15.08	15.74	0.34	5.428	3.898	16.08	0:35	13:05	7:32	19:50
10/3/31	90	2010	7:14	5	3.5	33.293	2.2	0.18	0.31	15.59	15.91	1	NA	3.78	16.91	1:22	13:46	8:16	20:34
10/4/01	91	2010	6:15	5.2	3.6	33.376	2.24	0.25	0.73	13.13	13.86	0.48	4.22	3.312	14.34	2:06	14:25	8:57	21:14
10/4/02	92	2010	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2:47	15:04	9:35	21:52
10/4/03	93	2010	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3:27	15:41	10:10	22:27
10/4/04	94	2010	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4:04	16:16	10:42	23:02
10/4/05	95	2010	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4:41	16:53	11:13	23:38
10/4/06	96	2010	7:35	4.8	4	33.348	0.99	0.2	0.53	9.07	9.6	0.4	9.49	6.888	10	5:22	17:37	11:50	NA
10/4/07	97	2010	7:20	4.5	4.2	33.316	0.53	0.2	0.44	11.48	11.92	0.25	NA	6.258	12.16	6:14	18:37	0:25	12:44
10/4/08	98	2010	4:45	NA	4.7	33.179	0.1	0.07	0.5	8.14	8.64	0.8	3.27	6.391	9.44	7:26	19:57	1:33	14:02
10/4/09	99	2010	7:05	5.2	4.6	33.227	0.31	0.19	0.63	10.49	11.12	1.09	NA	8.231	12.2	8:52	21:22	3:00	15:33
10/4/10	100	2010	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10:12	22:33	4:27	16:52
10/4/11	101	2010	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11:10	23:21	5:30	17:46
10/4/12	102	2010	7:15	3.8	5.5	31.448	1.64	0.31	0.82	25.33	26.15	1.04	NA	8.096	27.19	11:49	23:58	6:12	18:25
10/4/13	103	2010	6:15	3.8	5.4	31.456	1.86	0.01	0.61	25.62	26.23	1.15	5.19	4.947	27.38	NA	12:23	6:47	19:01
10/4/14	104	2010	7:35	4.3	5.5	31.653	1.46	0.01	0.58	24.13	24.71	2.94	NA	5.94	27.66	0:34	12:57	7:22	19:35
10/4/15	105	2010	7:10	5.5	5.5	32.165	0.61	0.02	0.47	19.15	19.62	0.61	9.22	6.008	20.24	1:09	13:29	7:54	20:09
10/4/16	106	2010	4:15	3.9	5.5	32.223	0.35	0.01	0.47	13	13.47	1.25	NA	4.743	14.72	1:42	14:00	8:26	20:44
10/4/17	107	2010	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2:16	14:32	8:59	21:20
10/4/18	108	2010	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2:53	15:08	9:34	21:57
10/4/19	109	2010	12:10	4.7	6.5	30.974	0.01	0.14	0.64	25.5	26.14	1.32	NA	2.492	27.46	3:33	15:45	10:10	22:35
10/4/20	110	2010	6:30	4.5	6.4	30.812	0.01	0.09	0.63	23.3	23.93	1.31	15.65	11.8	25.24	4:14	16:25	10:46	23:16
10/4/21	111	2010	7:05	1.4	5.8	32.026	0.01	0.08	0.42	17.16	17.58	0.72	NA	5.82	18.3	4:59	17:13	11:29	NA
10/4/22	112	2010	7:15	1.7	6.1	31.877	0.01	0.03	0.42	19	19.42	0.77	70.6	45.45	20.19	5:56	18:18	0:08	12:29
10/4/23	113	2010	5:55	3	6	31.618	0.01	0.06	0.45	19.2	19.64	0.29	NA	4.92	19.93	7:11	19:41	1:21	13:52
10/4/24	114	2010	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8:38	21:07	2:50	15:23
10/4/25	115	2010	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9:58	22:21	4:14	16:41
10/4/26	116	2010	12:30	3.8	7.6	30.709	0.01	0.48	0.59	19.17	19.75	0.67	NA	7.619	20.42	11:00	23:18	5:20	17:41
10/4/27	117	2010	6:45	3.8	7.4	31.175	0.01	0.68	0.51	17.87	18.38	1.94	7.13	4.992	20.32	11:50	NA	6:12	18:35
10/4/28	118	2010	7:20	3	7.4	31.445	0.01	0.28	0.45	18.07	18.53	0.46	NA	8.261	18.99	0:10	12:37	7:02	19:26
10/4/29	119	2010	7:15	3.4	7.6	31.306	0.01	0.01	0.39	17.23	17.62	0.96	12.77	10.358	18.57	0:59	13:21	7:48	20:11
10/4/30	120	2010	6:10	3.8	7.6	31.219	0.01	0.04	0.38	15.59	15.97	1.73	NA	5.721	17.7	1:43	14:00	8:29	20:51
10/5/01	121	2010	0:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	2:24	14:38	9:07	21:29
10/5/02	122	2010	0:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	3:02	15:15	9:43	22:06
10/5/03	123	2010	6:55	2.1	7.9	30.759	0.01	0.01	0.3	16.07	16.38	1.61	NA	9.244	17.99	3:42	15:53	10:16	22:43
10/5/04	124	2010	6:27	2.2	7.3	31.467	0.08	0.51	0.32	12.29	12.62	0.4	7.787	7.355	13.02	4:21	16:31	10:49	23:20
10/5/05	125	2010	7:23	1.8	8.4	29.826	0.01	0.56	0.38	15.05	15.42	0.4	NA	17.675	15.82	5:01	17:12	11:26	NA
10/5/06	126	2010	6:25	2	9	28.569	0.01	0.08	0.44	20.16	20.6	0.27	25.746	16.88	20.87	5:46	18:02	0:02	12:12
10/5/07	127	2010	0:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	6:44	19:07	0:56	13:15
10/5/08	128	2010	0:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	7:55	20:22	2:07	14:33
10/5/09	129	2010	0:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	9:09	21:32	3:24	15:50
10/5/10	130	2010	8:13	2.4	8.3	30.001	0.01	0.01	0.37	14.16	14.53	1.93	NA	8.605	16.46	10:12	22:28	4:30	16:51
10/5/11	131	2010	7:05	3.1	8.2	29.527	0.01	0.01	0.33	13.07	13.4	0.87	3.01	1.669	14.27	11:00:00	23:12	5:18	17:37
10/5/12	132	2010	6:42	3.8	8	30.869	0.01	0.01	0.3	13.34	13.64	0.45	NA	3.342	14.09	11:41	23:54	5:59	18:20
10/5/13	133	2010	0:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	12:20	6:40	19:02
10/5/14	134	2010	5:56	2.8	8.1	31.198	0.03	0.01	0.29	12.09	12.38	0.48	1.64	2.563	12.86	0:36	12:57	7:20	19:42
10/5/15	135	2010	0:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1:15	13:34	7:58	20:23
10/5/16	136	2010	0:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1:56	14:13	8:38	21:07
10/5/17	137	2010	6:52	3	7.9	32.24	0.67	0.12	0.36	10.77	11.13	0.73	NA	2.095	11.85	2:41	14:55	9:20	21:51
10/5/18	138	2010	6:49	3.2	8.2	31.821	0.62	0.1	0.25	10.81	11.07	1.3	1.431	0.54	12.37	3:26	15:38	10:01	22:34
10/5/19	139	2010	6:40	3	8.3	31.854	0.71	0.48	0.35	10.49	10.84	0.62	NA	3.542	11.47	4:11	16:23	10:44	23:22
10/5/20	140	2010	7:43	2.8	8.5	31.814	1.04	0.12	0.26	11.17	11.43	1.48	1.83	1.819	12.91	5:01	17:15	11:33	NA
10/5/21	141	2010	7:20	4.5	8.8	31.663	1.74	0.06	0.26	10.85	11.11	1.02	NA	NA	12.13	5:58	18:17	0:16	12:32
10/5/22	142	2010	0:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	7:08	19:28	1:00	13:43
10/5/23	143	2010	0:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	8:18	20:44	2:33	15:00
10/5/24	144	2010	0:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	9:29	21:52	3:45	16:11
10/5/25	145	2010	7:40	4	9.4	30.938	2.13	0.14	0.24	10.73	10.97	0.94	1.668	0.939	11.91	10:28	22:51	4:47	17:11
10/5/26	146	2010	7:25	5.5	10.1	30.948	1.33	0.07	0.22	9.99	10.21	1.07	NA	0.211	11.28	11:20	23:45	5:40	18:07
10/5/27	147	2010	6:42	6	9.6	31.235	1.49	0.05	0.24	9.79	10.03	2.44	2.527	1.613	12.47	NA	12:11	6:32	19:02
10/5/28	148	2010	6:45	5	10.4	30.915	1.73	0	0.24	10.28	10.52	1.33	NA	1.24	11.85	0:37	12:59	7:22	19:51
10/5/29	149	2010	0:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1:24	13:40	8:05	20:32
10/5/30	150	2010	0:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	2:04	14:18	8:44	21:11
10/5/31	151	2010	7:58	4.8	10.4	31.542	2.07	0.12	0.23	9.45	9.69	0.74	NA	2.051	10.43	2:43	14:56	9:21	21:50
10/6/01	152	2010	7:00	4.3	10.4	30.311	2.98	0.15	0.17	11.82	12	0.08	1.6	2.135	12.08	3:22	15:34	9:56	22:27
10/6/02	153	2010	7:20	4.9	11.9	29.846	3.32	0.04	0.18	13.02	13.2	0.52	NA	1.506	13.72	4:01	16:11	10:29	23:03
10/6/03	154	2010	7:37	5	11.6	30.124	3.3	0.06	0.2	13.11	13.32	0.71	1.007	2.422	14.03	4:39	16:48	11:04	23:39
10/6/04	155	2010	7:18	4.7	11.7	30.011	3.7	0.12	0.22	14.09	14.31	1.06	NA	1.478	15.37	5:18	17:29	11:43	NA
10/6/05	156	2010	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6:01	18:17	0:20	12:31
10/6/06	157	2010	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6:55	19:17	1:11	13:31
10/6/07	158	2010	7:35	4.2	13.3	29.024	3.96	0.04	0.18	15.71	15.89	1.33	NA	3.754	17.22	7:58	20:23	2:13	14:39
10/6/08	159	2010	6:25	4.2	12.4	29.862	3.93	0.14	0.21	13.86	14.06	2.06	2.189	2.361	16.12	9:04	21:27	3:18	15:46
10/6/09	160	2010	6:30	6	13.5	29.387	4.19	0.01	0.15	13.95	14.09	0.74	NA	2.681	14.84	10:04	22:23	4:17	16:45
10/6/10	161	2010	7:10	5.1	11.5	30.586	4.16	0.09	0.24	11.56	11.8	1.67	1.643	2.346	13.47	10:56	23:15	5:10	17:39
10/6/11	162	2010	7:32	5.5	12.5	30.333	4.14	0.01	0.21	13.28	13.49	1.31	NA	1.808	14.8	11:44	NA	6:01	18:31
10/6/12	163	2010	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0:06	12:29	6:51	19:20
10/6/13	164	2010	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0:55	13:14	7:37	20:09
10/6/14	165	2010	7:57	4	11.7	31.249	4.39	0.15	0.26	11.42	11.68	1.4	NA	1.301	13.07	1:43	14:00	8:25	20:59
10/6/15	166	2010	7:35	4.3	12	30.614	4.94	0.35	0.25	12.57	12.83	2.43	1.395	1.962	15.25	2:32	14:47	9:12	21:47
10/6/16	167	2010	7:27	4.3	12.5	30.368	5.11	0.39	0.26	13.66	13.92	2.53	NA	1.313	16.44	3:21	15:32	9:57	22:33
10/6/17	168	2010	6:00	4	13.4	29.654	5.12	0.41	0.26	14.02	14.28	1.9	1.436	1.594	16.18	4:07	16:18	10:41	23:20
10/6/18	169	2010	7:27	4	12.4	29.868	4.79	0.38	0.28	14.93	15.2	1.7	NA	3.113	16.91	4:56	17:09	11:31	NA
10/6/19	170	2010	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5:50	18:06	0:12	12:26
10/6/20	171	2010	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6:48	19:08	1:06	13:24
10/6/21	172	2010	7:35	3.1	12	31.032	5.74	0.28	0.3	12.24	12.53	1.25	NA	2.378	13.78	7:49	20:15	2:04	14:29
10/6/22	173	2010	7:05	4.4	12.2	30.907	5.93	0.48	0.26	11.29	11.55	1.49	1.891	2.406	13.03	8:54	21:22	3:08	15:38
10/6/23	174	2010	7:00	4.2	12.2	30.558	5.71	0.21	0.3	12.62	12.92	1.49	NA	3.828	14.41	9:57	22:26	4:13	16:44
10/6/24	175	2010	7:15	5.6	14.5	30.275	5.25	0.16	0.27	11.45	11.72	0.69	2.791	5.488	12.41	10:55	23:26	5:14	17:45
10/6/25	176	2010	7:35	3.7	15.2	30.599	4.83	0.12	0.22	11.91	12.13	0.04	NA	5.079	12.18	11:50	NA	6:10	18:43
10/6/26	177	2010	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0:20	12:41	7:01	19:34
10/6/27	178	2010	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1:08	13:25	7:48	20:17
10/6/28	179	2010	7:30	3.7	15.9	29.754	7.09	0.28	0.32	16.18	16.51	0.26	NA	NA	16.77	1:49	14:03	8:26	20:56
10/6/29	180	2010	7:15	3.2	14.8	30.35	6.93	0.36	0.28	12.16	12.44	2.43	2.413	NA	14.87	2:28	14:40	9:04	21:34
10/6/30	181	2010	7:17	3.9	14.4	30.462	7.87	0.3	0.23	11.86	12.08	0.83	NA	NA	12.91	3:04	15:15	9:39	22:08
10/7/01	182	2010	6:20	3.5	15.8	29.831	7.19	0.12	0.29	14.65	14.94	0.75	2.816	NA	15.69	3:39	15:48	10:09	22:40
10/7/02	183	2010	6:40	5	14.9	30.569	6.98	0.13	0.3	12.73	13.03	0.96	NA	2.754	13.99	4:12	16:20	10:40	23:12
10/7/03	184	2010	0:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	4:46	16:55	11:15	23:45
10/7/04	185	2010	0:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	5:21	17:33	11:51	NA
10/7/05	186	2010	7:25	3.2	17.1	29.791	6.56	0.08	0.3	11.33	11.63	0.21	NA	7.769	11.85	6:01	18:18	0:20	12:35
10/7/06	187	2010	7:10	3.6	16.1	30.177	6.13	0.58	0.43	9.79	10.22	4.64	5.029	NA	14.86	6:52	19:17	1:06	13:31
