sample_name	julian_day	year	month	fraction	season	Time	Secchi meter 	Temperature	Salinity	SiO2	PO4	NO2	NO3	NOX	NH4	HPLC Chla	BBE Chla	DIN
FL_120112	12	2012	January	FL	Winter	0.3125	0.9	6.5	33.27	12.19	0.36	0.68	18.25	18.93	4.56	NA	0.429	23.49
FL_120119	19	2012	January	FL	Winter	0.379166667	1	5.9	31.628	15.11	0.61	0.86	20.64	21.49	2.49	NA	0.35	23.98
FL_120126	26	2012	January	FL	Winter	0.390277778	1	5	30.851	18.34	0.72	1.07	26.77	27.85	2.54	NA	0.867	30.39
FL_120202	33	2012	February	FL	Winter	0.366666667	1.5	3.8	33.706	9.08	0.48	0.64	13.49	14.13	2.4	NA	0.84	16.53
FL_120207	38	2012	February	FL	Winter	0.315277778	2.4	3.4	33.932	8.54	0.52	0.45	10.83	11.27	2.32	NA	0.575	13.59
FL_120301	61	2012	March	FL	Winter	0.357638889	2.5	4.5	33.156	14.8	0.88	0.42	18.38	18.8	2.75	NA	1.425	21.55
FL_120308	68	2012	March	FL	Winter	0.303472222	2.2	4	33.586	10.78	0.74	0.32	15.39	15.72	4.02	NA	1.39	19.74
FL_120315	75	2012	March	FL	Winter	0.345833333	2.8	4.6	33.061	12.63	0.81	0.18	19.9	20.08	3.15	NA	1.095	23.23
FL_120322	82	2012	March	FL	Spring	0.34375	3	5.4	33.027	14.51	0.66	0.35	22.93	23.27	2.72	NA	1.005	26
FL_120329	89	2012	March	FL	Spring	0.3125	2	6.3	31.545	19.16	1.01	0.44	31.39	31.83	1.87	NA	1.27	33.71
FL_120405	96	2012	April	FL	Spring	0.319444444	1.7	6	31.007	21.19	1.05	0.44	35.65	36.08	2.71	NA	1.405	38.79
FL_120412	103	2012	April	FL	Spring	0.270833333	4	6.6	30.75	18.42	0.46	0.5	36.22	36.72	2.12	NA	1.925	38.84
FL_120416	107	2012	April	FL	Spring	0.34375	3	6.7	31.087	16.87	0.72	0.38	24.87	25.25	2.3	NA	3.99	27.55
FL_120426	117	2012	April	FL	Spring	0.302083333	4.8	7	32.943	7.94	0.87	0.38	16.44	16.82	1.79	NA	6.375	18.61
FL_120503	124	2012	May	FL	Spring	0.309027778	7	8.6	32.441	3.31	0.08	0.26	15.19	15.46	1.74	NA	0.76	17.2
FL_120510	131	2012	May	FL	Spring	0.329861111	6.8	8.5	32.801	1.89	0.2	0.28	9.19	9.47	2	NA	NA	11.47
FL_120524	145	2012	May	FL	Spring	0.322916667	8	11.5	31.252	2.42	0.69	0.21	13.1	13.3	1.98	NA	1.05	15.28
FL_120531	152	2012	May	FL	Spring	0.277777778	7	12.1	31.339	1.46	0.01	0.14	6.63	6.77	1.42	NA	2.975	8.2
FL_120607	159	2012	June	FL	Spring	0.305555556	7.2	11.8	31.832	2.27	0.17	0.19	5.65	5.84	0.93	NA	2.775	6.77
FL_120614	166	2012	June	FL	Spring	0.295138889	6	12.4	32.139	2.92	0.38	0.31	5.82	6.13	2.69	NA	2.165	8.82
FL_120620	172	2012	June	FL	Summer	0.25	6.9	13	32.175	2.71	0.72	0.22	3.8	4.02	0.25	NA	2.425	4.27
FL_120628	180	2012	June	FL	Summer	0.302083333	7	13.5	32.183	2.7	0.15	0.22	3.29	3.51	1.36	NA	2.48	4.86
FL_120705	187	2012	July	FL	Summer	0.302083333	7	15.2	32.472	3.6	0.39	0.24	2.85	3.09	1.11	NA	2.49	4.2
FL_120712	194	2012	July	FL	Summer	0.270833333	6	14.8	32.195	4.07	0.17	0.24	2.93	3.17	2.21	NA	1.29	5.38
FL_120719	201	2012	July	FL	Summer	0.295138889	7	16.1	32.186	3.83	0.35	0.23	1.74	1.96	2	NA	1.45	3.96
FL_120726	208	2012	July	FL	Summer	0.256944444	5.8	17.4	NA	3.9	0.42	0.15	1.03	1.18	4.06	NA	3.18	5.24
FL_120802	215	2012	August	FL	Summer	0.322916667	6.8	17.2	31.696	4.14	0.27	0.2	1.18	1.39	1.33	NA	1.72	2.72
FL_120809	222	2012	August	FL	Summer	0.297916667	4.7	17.1	32.127	5.82	0.46	0.17	1.55	1.72	0.51	NA	2.61	2.23
FL_120816	229	2012	August	FL	Summer	0.313888889	3.9	17.6	32.23	1.63	0.29	0.08	0.61	0.69	0.87	NA	6.815	1.56
FL_120823	236	2012	August	FL	Summer	0.3125	3.1	17.9	32.791	3.77	0.52	0.07	0.82	0.89	1.25	NA	2.425	2.14
FL_120830	243	2012	August	FL	Summer	NA	NA	NA	32.77	7.09	0.57	0.12	1.06	1.17	1.54	NA	2.57	2.71
FL_120906	250	2012	September	FL	Summer	0.274305556	3.9	17.5	32.605	8.22	0.46	0.16	1.44	1.61	1.24	NA	1.73	2.84
FL_120920	264	2012	September	FL	Summer	0.256944444	2.1	16.4	32.321	10.63	0.7	0.34	2.6	2.94	2.28	NA	1.425	5.22
FL_120927	271	2012	September	FL	Autumn	0.315972222	3.7	15.8	32.745	11.01	1.04	0.31	2.97	3.28	2.31	NA	1.405	5.59
FL_121004	278	2012	October	FL	Autumn	0.302083333	2.6	15.1	32.819	8.1	0.71	0.23	1.86	2.09	1.46	NA	1.08	3.55
FL_121011	285	2012	October	FL	Autumn	0.302083333	2.1	13.1	31.373	14.85	NA	1.09	9.58	10.67	1.58	NA	1.56	12.25
FL_121018	292	2012	October	FL	Autumn	0.309027778	2	13.8	33.089	4.49	0.59	0.14	2.39	2.54	1.31	NA	1.43	3.84
FL_121101	306	2012	November	FL	Autumn	0.350694444	3.6	11.9	32.54	3.82	1.36	0.12	1.08	1.19	1.22	NA	1.295	2.41
FL_121122	327	2012	November	FL	Autumn	0.3125	4.5	10.1	33.495	4.16	0.66	0.21	1.88	2.1	1.21	NA	0.755	3.31
FL_121129	334	2012	November	FL	Autumn	0.315972222	1.9	9.5	33.876	6.64	NA	0.19	1.68	1.88	2.36	NA	0.93	4.24
FL_121206	341	2012	December	FL	Autumn	0.326388889	1.8	8	33.563	3.33	0.62	0.22	1.64	1.85	2.12	NA	1.225	3.97
FL_121213	348	2012	December	FL	Autumn	0.340277778	2.6	7.1	33.302	7.5	0.54	0.32	2.03	2.35	1.62	NA	0.99	3.97
FL_121220	355	2012	December	FL	Autumn	0.347222222	4.7	6.8	33.373	4.27	NA	0.3	4.15	4.46	2.16	NA	1.03	6.61
